name,smiles,mult,charge,exc_flag
CH3OCH3,COC,1,0,0
O2,O=O,3,0,0
AR,[Ar],1,0,0
HE,[He],1,0,0
H2O,O,1,0,0
OH,[OH],2,0,0
CO,[C]=O,1,0,0
CO2,O=C=O,1,0,0
H2O2,OO,1,0,0
HOCHO,C(=O)O,1,0,0
CH3OCHO,O=COC,1,0,0
CH4,C,1,0,0
C2H2,C#C,1,0,0
C2H4,C=C,1,0,0
C2H6,CC,1,0,0
CH2O,C=O,1,0,0
CH3OH,CO,1,0,0
CL,[Cl],2,0,0
CL2,ClCl,1,0,0
CH3OCH2OO,COCO[O],2,0,0
CH2OCH2OOH,[CH2]OCOO,2,0,0
O2CH2OCH2O2H,[O]OCOCOO,2,0,0
HO2CH2OCHO,OOCOC=O,1,0,0
CH3OCH2,CO[CH2],2,0,0
H,[H],2,0,0
HO2,O[O],2,0,0
CH3,[CH3],2,0,0
CH3O,C[O],2,0,0
CH3OO,CO[O],2,0,0
O,[O],3,0,0
CH3OCH2OOH,COCOO,1,0,0